state,total_leakage_score,total_orders_affected,total_revenue_at_risk,num_payment_types,worst_payment_type,highest_pct_below,state_rank
SP,4487.3,41746,722461.58,6,credit_card,29.55,1
MG,263.17,2652,42371.66,3,boleto,35.13,2
RJ,206.45,2473,33239.12,2,boleto,27.33,3
PR,194.54,1289,31320.17,3,boleto,35.82,4
RS,168.58,1442,27142.2,2,boleto,12.09,5
SC,129.93,840,20917.62,1,boleto,15.47,6
DF,75.01,446,12076.04,3,boleto,39.29,7
BA,66.3,759,10674.21,3,voucher,36.24,8
GO,27.85,511,4484.4,3,boleto,17.66,9
PE,15.15,52,2438.58,2,voucher,42.48,10
ES,14.06,1603,2265.57,2,voucher,36.0,11
MS,13.58,201,2185.8,3,voucher,55.17,12
PA,4.15,23,668.02,1,voucher,18.04,13
PI,3.91,19,629.21,2,debit_card,30.43,14
AM,1.75,3,281.81,2,debit_card,69.48,15
MA,1.46,4,234.6,1,debit_card,36.43,16
AL,1.29,3,208.19,1,voucher,43.11,17
SE,1.01,8,163.27,1,voucher,12.68,18
CE,0.91,20,146.61,1,debit_card,4.55,19
MT,0.79,6,126.96,1,debit_card,13.14,20
AC,0.79,2,126.56,1,voucher,39.31,21
AP,0.56,1,89.85,1,voucher,55.81,22
PB,0.03,13,5.13,1,voucher,0.25,23
